t,t_cmd,A_scale,foot_z,foot_vz,body_z,body_vz,Fn_gpu,Fs_spring,rest_len,Lr_dot,contact,Wact_cum_J,Impulse_cum_Ns
0.000000,0.000000,1.000000,-13.500000,0.000000,0.200000,0.000000,1908.269861,-949000.000000,12.761521,0.000000,1,0.000000,0.000000
0.002025,0.002025,1.000000,-13.520773,-19.795539,0.204213,3.952672,0.000000,-807921.835134,12.761521,0.000000,0,0.000000,0.000000
0.004025,0.004025,1.000000,-13.577640,-36.337916,0.215231,6.853465,0.000000,-650016.445865,12.761521,0.000000,0,0.000000,0.000000
0.006025,0.006025,1.000000,-13.664317,-49.615138,0.230958,8.665872,0.000000,-483019.241035,12.761521,0.000000,0,0.000000,0.000000
0.008025,0.008025,1.000000,-13.774148,-59.533529,0.249178,9.358669,0.000000,-315485.899370,12.761521,0.000000,0,0.000000,0.000000
0.010025,0.010025,1.000000,-13.900460,-66.160324,0.267664,8.954267,0.000000,-154924.311040,12.761521,0.000000,0,0.000000,0.000000
0.012025,0.012025,1.000000,-14.036856,-69.700526,0.284285,7.521001,0.000000,-7592.361819,12.761521,0.000000,0,0.000000,0.000000
0.014025,0.014025,1.000000,-14.177467,-70.470550,0.297084,5.164343,0.000000,121623.438142,12.761521,0.000000,0,0.000000,0.000000
0.016025,0.016025,1.000000,-14.317146,-68.870212,0.304346,2.017564,0.000000,229253.216199,12.761521,0.000000,0,0.000000,0.000000
0.018025,0.018025,1.000000,-14.451606,-65.354527,0.304642,-1.767665,0.000000,313220.412246,12.761521,0.000000,0,0.000000,0.000000
0.020025,0.020025,1.000000,-14.577503,-60.406588,0.296857,-6.030311,0.000000,372759.493340,12.761521,0.000000,0,0.000000,0.000000
0.022025,0.022025,1.000000,-14.692467,-54.512589,0.280200,-10.608311,0.000000,408285.747297,12.761521,0.000000,0,0.000000,0.000000
0.024025,0.024025,1.000000,-14.795082,-48.139848,0.254201,-15.345891,0.000000,421228.940312,12.761521,0.000000,0,0.000000,0.000000
0.026025,0.026025,1.000000,-14.884835,-41.718415,0.218688,-20.099702,0.000000,413842.752469,12.761521,0.000000,0,0.000000,0.000000
0.028025,0.028025,1.000000,-14.962021,-35.626635,0.173759,-24.743628,0.000000,389001.488600,12.761521,0.000000,0,0.000000,0.000000
0.030025,0.030025,1.000000,-15.027629,-30.180828,0.119744,-29.172230,0.000000,349994.687049,12.761521,0.000000,0,0.000000,0.000000
0.032025,0.032025,1.000000,-15.083216,-25.629004,0.057162,-33.302839,0.000000,300329.011745,12.761521,0.000000,0,0.000000,0.000000
0.034025,0.034025,1.000000,-15.130761,-22.148403,-0.013328,-37.076372,0.000000,243545.314036,12.761521,0.000000,0,0.000000,0.000000
0.036025,0.036025,1.000000,-15.172525,-19.851947,-0.090971,-40.457012,-21192.688301,183084.483293,12.761521,0.000000,1,0.000000,0.000000
