t,t_cmd,A_scale,foot_z,foot_vz,body_z,body_vz,Fn_gpu,Fs_spring,rest_len,Lr_dot,contact,Wact_cum_J,Impulse_cum_Ns
0.000000,0.000000,1.225000,-13.500000,0.000000,0.200000,0.000000,2164.138779,-949000.000000,12.761521,0.000000,1,0.000000,0.000001
0.002025,0.002025,1.225000,-13.520773,-19.795482,0.204213,3.952675,0.000000,-807922.214754,12.761521,0.000000,0,0.000000,0.000001
0.004025,0.004025,1.225000,-13.577640,-36.337867,0.215231,6.853470,0.000000,-650016.860141,12.761521,0.000000,0,0.000000,0.000001
0.006025,0.006025,1.225000,-13.664316,-49.615098,0.230958,8.665880,0.000000,-483019.667225,12.761521,0.000000,0,0.000000,0.000001
0.008025,0.008025,1.225000,-13.774147,-59.533497,0.249178,9.358680,0.000000,-315486.317054,12.761521,0.000000,0,0.000000,0.000001
0.010025,0.010025,1.225000,-13.900459,-66.160300,0.267664,8.954281,0.000000,-154924.702733,12.761521,0.000000,0,0.000000,0.000001
0.012025,0.012025,1.225000,-14.036855,-69.700510,0.284285,7.521017,0.000000,-7592.713379,12.761521,0.000000,0,0.000000,0.000001
0.014025,0.014025,1.225000,-14.177466,-70.470540,0.297085,5.164361,0.000000,121623.137301,12.761521,0.000000,0,0.000000,0.000001
0.016025,0.016025,1.225000,-14.317146,-68.870208,0.304347,2.017583,0.000000,229252.973087,12.761521,0.000000,0,0.000000,0.000001
0.018025,0.018025,1.225000,-14.451606,-65.354527,0.304642,-1.767643,0.000000,313220.230430,12.761521,0.000000,0,0.000000,0.000001
0.020025,0.020025,1.225000,-14.577503,-60.406591,0.296857,-6.030289,0.000000,372759.373216,12.761521,0.000000,0,0.000000,0.000001
0.022025,0.022025,1.225000,-14.692466,-54.512593,0.280201,-10.608288,0.000000,408285.686475,12.761521,0.000000,0,0.000000,0.000001
0.024025,0.024025,1.225000,-14.795082,-48.139854,0.254201,-15.345868,0.000000,421228.934065,12.761521,0.000000,0,0.000000,0.000001
0.026025,0.026025,1.225000,-14.884834,-41.718420,0.218688,-20.099679,0.000000,413842.794239,12.761521,0.000000,0,0.000000,0.000001
0.028025,0.028025,1.225000,-14.962020,-35.626639,0.173759,-24.743606,0.000000,389001.570518,12.761521,0.000000,0,0.000000,0.000001
0.030025,0.030025,1.225000,-15.027629,-30.180830,0.119744,-29.172209,0.000000,349994.800448,12.761521,0.000000,0,0.000000,0.000001
0.032025,0.032025,1.225000,-15.083216,-25.629003,0.057162,-33.302818,0.000000,300329.147645,12.761521,0.000000,0,0.000000,0.000001
0.034025,0.034025,1.225000,-15.130760,-22.148399,-0.013327,-37.076352,0.000000,243545.463584,12.761521,0.000000,0,0.000000,0.000001
0.036025,0.036025,1.225000,-15.172525,-19.851940,-0.090970,-40.456993,-21193.260191,183084.638797,12.761521,0.000000,1,0.000000,0.000001
0.038025,0.038025,1.225000,-15.210745,-18.545893,-0.174962,-43.427741,24917.128042,120780.689372,12.761521,0.000000,1,0.000000,0.000282
0.040025,0.040025,1.225000,-15.247145,-18.010976,-0.264471,-45.980001,42914.719981,57864.770278,12.761521,0.000000,1,0.000000,0.001005
0.042025,0.042025,1.225000,-15.283506,-18.516933,-0.358666,-48.121297,51677.240141,-2014.687195,12.761521,0.000000,1,0.000000,0.001917
0.044025,0.044025,1.225000,-15.321805,-19.882466,-0.456750,-49.878365,79377.443799,-57419.515837,12.761521,0.000000,1,0.000000,0.003127
0.046025,0.046025,1.225000,-15.363119,-21.349012,-0.557979,-51.275810,153638.067494,-110639.054674,12.761521,0.000000,1,0.000000,0.005327
0.048025,0.048025,1.225000,-15.407538,-22.753119,-0.661654,-52.328952,238159.886905,-161858.783771,12.761521,0.000000,1,0.000000,0.008625
0.050025,0.050025,1.225000,-15.453335,-22.501625,-0.767079,-53.023009,470936.286948,-219893.943968,12.761521,0.000000,1,0.000000,0.014692
0.052025,0.052025,1.225000,-15.495798,-19.481939,-0.873466,-53.279369,577208.097362,-293421.915180,12.761521,0.000000,1,0.000000,0.024809
0.054025,0.054025,1.225000,-15.531510,-16.385551,-0.979849,-53.021442,611460.325593,-370794.083851,12.761521,0.000000,1,0.000000,0.036528
0.056025,0.056025,1.225000,-15.563024,-15.043289,-1.085215,-52.277558,680817.012061,-439810.018940,12.761521,0.000000,1,0.000000,0.047959
0.058025,0.058025,1.225000,-15.592413,-14.753188,-1.188632,-51.088152,598869.379889,-501494.605146,12.761521,0.000000,1,0.000000,0.059637
0.060025,0.060025,1.225000,-15.621986,-14.786712,-1.289277,-49.515390,609901.850396,-557001.464341,12.761521,0.000000,1,0.000000,0.072165
0.062025,0.062025,1.225000,-15.651931,-15.317718,-1.386419,-47.594928,584241.177693,-604818.036432,12.761521,0.000000,1,0.000000,0.085229
0.064025,0.064025,1.225000,-15.682290,-15.184353,-1.479402,-45.364129,739220.716403,-650316.549777,12.761521,0.000000,1,0.000000,0.099933
0.066025,0.066025,1.225000,-15.712127,-14.663381,-1.567625,-42.843412,781312.468826,-692515.308625,12.761521,0.000000,1,0.000000,0.115867
0.068025,0.068025,1.225000,-15.740358,-13.411320,-1.650528,-40.048448,898691.523307,-733678.118015,12.761521,0.000000,1,0.000000,0.133373
0.070025,0.070025,1.225000,-15.765242,-11.339145,-1.727565,-36.978014,928380.852997,-775311.202186,12.761521,0.000000,1,0.000000,0.152504
0.072025,0.072025,1.225000,-15.786401,-10.025796,-1.798187,-33.648212,967435.841899,-809448.594852,12.761521,0.000000,1,0.000000,0.171657
0.074025,0.074025,1.225000,-15.805399,-8.789788,-1.861938,-30.115974,1024175.738461,-837976.207759,12.761521,0.000000,1,0.000000,0.191343
0.076025,0.076025,1.225000,-15.821736,-7.513803,-1.918441,-26.407330,1006226.940549,-861722.550414,12.761521,0.000000,1,0.000000,0.211581
0.078025,0.078025,1.225000,-15.835641,-6.460105,-1.967380,-22.559950,1034077.979174,-879073.601636,12.761521,0.000000,1,0.000000,0.232024
0.080025,0.080025,1.225000,-15.847270,-5.302178,-2.008517,-18.612591,1073482.214042,-892188.138692,12.762283,30.917527,1,0.000068,0.252874
0.082025,0.082025,1.225000,-15.857012,-4.878552,-2.041493,-14.288949,1107431.296775,-1009903.419739,12.892534,96.883791,1,0.012492,0.274117
0.084025,0.084025,1.225000,-15.868582,-6.770291,-2.064844,-8.913294,1167906.448789,-1205349.432185,13.140018,148.150055,1,0.039959,0.296207
0.086025,0.086025,1.225000,-15.885180,-9.864344,-2.076001,-2.055966,1335632.103186,-1450500.166757,13.475334,184.716320,1,0.084583,0.321567
0.088025,0.088025,1.225000,-15.907623,-12.734063,-2.071716,6.536276,1633612.812326,-1721307.274596,13.869083,206.582585,1,0.147180,0.352388
0.090025,0.090025,1.225000,-15.935977,-15.474876,-2.048419,16.927193,1950070.868223,-1987440.284282,14.291865,213.748852,1,0.225738,0.388739
0.092025,0.092025,1.225000,-15.969530,-17.832623,-2.002603,28.999352,2194410.470405,-2221972.619118,14.714279,206.215119,1,0.314819,0.430499
0.094025,0.094025,1.225000,-16.006683,-19.068485,-1.931170,42.468029,2384056.058891,-2402400.147753,15.106925,183.981387,1,0.405794,0.477557
0.096025,0.096025,1.225000,-16.045548,-19.968693,-1.831745,56.886418,2518165.671508,-2500306.177347,15.440404,147.047655,1,0.487786,0.527785
0.098025,0.098025,1.225000,-16.086231,-20.414610,-1.703056,71.610065,2626570.501657,-2491990.816826,15.685316,95.413925,1,0.549151,0.579377
0.100025,0.100025,1.225000,-16.126359,-19.365419,-1.545237,85.887109,2555254.475472,-1825320.745211,15.211528,0.544087,1,0.470540,0.631080
0.102025,0.102025,1.225000,-16.155456,-11.091516,-1.363512,95.542187,2020497.295084,-1668654.535306,15.254833,42.115449,1,0.477978,0.676025
0.104025,0.104025,1.225000,-16.173795,-7.864616,-1.163444,104.290701,1747416.705707,-1555372.566744,15.377409,79.815206,1,0.497613,0.713269
0.106025,0.106025,1.225000,-16.188272,-6.902388,-0.946545,112.428734,1616878.202938,-1486173.232362,15.571513,113.643359,1,0.527017,0.746453
0.108025,0.108025,1.225000,-16.201771,-6.818901,-0.713744,120.242975,1545356.540729,-1457879.364094,15.829401,143.599906,1,0.564887,0.777801
0.110025,0.110025,1.225000,-16.215575,-7.138578,-0.465427,127.983849,1507700.701015,-1463893.916577,16.143331,169.684849,1,0.610681,0.808535
0.112025,0.112025,1.225000,-16.229940,-7.069564,-0.201525,135.861220,1577391.755570,-1499912.834656,16.505559,191.898187,1,0.664292,0.840094
0.114025,0.114025,1.225000,-16.244550,-7.312502,0.078421,144.042484,1637385.227549,-1554547.774588,16.908343,210.239921,1,0.725761,0.872249
0.116025,0.116025,1.225000,-16.258451,-6.530354,0.375142,152.652187,1763366.629259,-1627135.489507,17.343938,224.710050,1,0.795053,0.906732
0.118025,0.118025,1.225000,-16.270701,-5.782993,0.689591,161.768578,1838804.037235,-1705055.238780,17.804602,235.308574,1,0.871841,0.942688
0.120025,0.120025,1.225000,-16.281796,-5.623383,1.022792,171.392837,1873889.845737,-1777254.091740,18.282591,242.035493,1,0.955162,0.979569
0.122025,0.122025,1.225000,-16.293056,-5.660020,1.375700,181.455569,1939566.248068,-1837079.622627,18.770163,244.890807,1,1.043359,1.017577
0.124025,0.124025,1.225000,-16.304670,-6.135719,1.749096,191.853450,1863704.855490,-1876046.489385,19.259573,243.874517,1,1.134348,1.056116
0.126025,0.126025,1.225000,-16.318671,-7.807641,2.143476,202.401381,1905807.434537,-1882109.055204,19.743080,238.986622,1,1.225323,1.093938
0.128025,0.128025,1.225000,-16.335105,-8.367088,2.558929,212.896817,1951161.074429,-1860781.314646,20.212939,230.227122,1,1.313358,1.132716
0.130025,0.130025,1.225000,-16.351737,-8.192862,2.995158,223.145542,1873509.726428,-1806481.882581,20.661407,217.596018,1,1.395722,1.171457
0.132025,0.132025,1.225000,-16.368075,-8.195167,3.451431,232.897376,1831420.558426,-1710082.048277,21.080742,201.093309,1,1.469613,1.208540
0.134025,0.134025,1.225000,-16.383617,-7.163217,3.926463,241.871510,1752251.806554,-1573714.648624,21.463199,180.718995,1,1.532551,1.244314
0.136025,0.136025,1.225000,-16.396652,-5.772627,4.418425,249.788690,1604880.346733,-1391640.828043,21.801037,156.473076,1,1.582806,1.277260
0.138025,0.138025,1.225000,-16.405827,-2.999820,4.924892,256.346977,1458785.450765,-1166943.141477,22.086511,128.355552,1,1.619478,1.307511
0.140025,0.140025,1.225000,-16.407728,1.052228,5.442872,261.274014,1177969.622043,-899273.189903,22.311878,96.366424,1,1.642960,1.334114
0.142025,0.142025,1.225000,-16.401170,5.622133,5.968790,264.257635,921950.955373,-583717.528639,22.469395,60.505691,1,1.654856,1.355411
0.144025,0.144025,1.225000,-16.383973,11.605139,6.498453,264.998216,615196.419235,-225025.824774,22.551319,20.773354,1,1.658420,1.371379
0.146025,0.146025,1.225000,-16.353707,18.707056,7.027082,263.216609,299075.804790,166973.431489,22.561521,0.000000,1,1.658583,1.380897
0.148025,0.148025,1.225000,-16.308271,26.964483,7.549540,258.891575,15085.601997,530518.418046,22.561521,0.000000,1,1.658583,1.383948
0.150025,0.150025,1.225000,-16.244212,37.362380,8.061001,252.302124,-171189.336186,845559.263460,22.561521,0.000000,1,1.658583,1.383957
0.152025,0.152025,1.225000,-16.156047,51.263513,8.557291,243.813831,-232339.336179,1098475.825752,22.561521,0.000000,1,1.658583,1.383957
0.154025,0.154025,1.225000,-16.036794,68.236841,9.035051,233.865300,-303131.842661,1284372.031660,22.561521,0.000000,1,1.658583,1.383957
0.156025,0.156025,1.225000,-15.881177,87.376319,9.491816,222.905922,-339864.834836,1403103.338752,22.561521,0.000000,1,1.658583,1.383957
0.158025,0.158025,1.225000,-15.685575,107.981250,9.926017,211.381082,-300228.560949,1455762.078384,22.561521,0.000000,1,1.658583,1.383957
0.160025,0.160025,1.225000,-15.448090,129.392444,10.336956,199.715587,-278703.816132,1445446.944893,22.561521,0.000000,1,1.658583,1.383957
0.162025,0.162025,1.225000,-15.168927,149.745864,10.724753,188.293459,-289771.350934,1383688.181459,22.561521,0.000000,1,1.658583,1.383957
0.164025,0.164025,1.225000,-14.850006,168.860549,11.090239,177.447626,-190554.309027,1275514.866201,22.561521,0.000000,1,1.658583,1.383957
0.166025,0.166025,1.225000,-14.494687,186.099040,11.434857,167.454537,-145642.089842,1129789.471688,22.561521,0.000000,1,1.658583,1.383957
0.168025,0.168025,1.225000,-14.107433,200.842429,11.760538,158.529856,-201888.039104,956403.023857,22.561521,0.000000,1,1.658583,1.383957
